Label,Contrast,Best Text Prompt,Dice (%),IoU (%),N Samples
NCR,T1,Enhancing Tumor,40.73,28.48,15
NCR,T1CE,Non-Enhancing Tumor Core,41.33,32.38,15
NCR,T2,Non-Enhancing Tumor Core,27.88,18.75,14
NCR,FLAIR,Enhancing Tumor,36.29,25.09,15
ED,T1,Edema,37.66,27.26,20
ED,T1CE,Edema,31.1,24.17,20
ED,T2,Brain Edema,45.92,34.31,19
ED,FLAIR,Edema,48.28,39.12,20
ET,T1,Enhancing Tumor,45.22,32.38,14
ET,T1CE,Enhancing Tumor,59.21,46.99,14
ET,T2,Enhancing Core,48.84,34.91,13
ET,FLAIR,Enhancing Tumor,48.62,35.84,14
