Label,Contrast,Best Text Prompt,Dice (%),IoU (%),N Samples
NC,T1N,Tumor,37.81,27.74,10
NC,T1C,Non-Enhancing Tumor Core,50.65,40.22,10
NC,T2W,Non-Enhancing Tumor Core,33.09,26.26,10
NC,T2F,Enhancing Tumor,44.76,34.36,10
ED,T1N,Peritumoral Edema,57.24,44.54,4
ED,T1C,Brain Edema,68.54,54.57,4
ED,T2W,Peritumoral Edema,67.62,56.49,4
ED,T2F,Peritumoral Edema,77.99,65.69,4
ET,T1N,Enhancing Core,32.71,23.01,5
ET,T1C,Contrast-Enhancing Tumor,46.77,35.57,5
ET,T2W,Contrast-Enhancing Tumor,27.73,18.18,5
ET,T2F,Enhancing Core,26.16,17.28,5
