case_id,contrast,slice_idx,label,label_id,model,gt_pixels,prompt_type,text_prompt,dice,iou,precision,recall
BraTS-MET-00009-000,t1n,49,SNFH,2,sam3,52,box,,0.7415730337078652,0.5892857142857143,0.8918918918918919,0.6346153846153846
BraTS-MET-00009-000,t1n,49,SNFH,2,sam3,52,text,Peritumoral Edema,0.0,0.0,0.0,0.0
BraTS-MET-00009-000,t1n,50,SNFH,2,sam3,71,box,,0.803030303030303,0.6708860759493671,0.8688524590163934,0.7464788732394366
BraTS-MET-00009-000,t1n,50,SNFH,2,sam3,71,text,Peritumoral Edema,0.0,0.0,0.0,0.0
BraTS-MET-00009-000,t1n,51,SNFH,2,sam3,95,box,,0.40522875816993464,0.2540983606557377,0.2938388625592417,0.6526315789473685
BraTS-MET-00009-000,t1n,51,SNFH,2,sam3,95,text,Peritumoral Edema,0.0,0.0,0.0,0.0
BraTS-MET-00009-000,t1n,52,SNFH,2,sam3,137,box,,0.37962962962962965,0.2342857142857143,0.27796610169491526,0.5985401459854015
BraTS-MET-00009-000,t1n,52,SNFH,2,sam3,137,text,Peritumoral Edema,0.010378057820607857,0.005216095380029807,0.005775577557755775,0.051094890510948905
BraTS-MET-00009-000,t1n,52,ET,3,sam3,16,box,,0.6153846153846154,0.4444444444444444,0.5217391304347826,0.75
BraTS-MET-00009-000,t1n,52,ET,3,sam3,16,text,Enhancing Tumor,0.0,0.0,0.0,0.0
BraTS-MET-00009-000,t1n,53,SNFH,2,sam3,192,box,,0.22535211267605634,0.12698412698412698,0.13559322033898305,0.6666666666666666
BraTS-MET-00009-000,t1n,53,SNFH,2,sam3,192,text,Peritumoral Edema,0.5831622176591376,0.4115942028985507,0.48135593220338985,0.7395833333333334
BraTS-MET-00009-000,t1n,53,ET,3,sam3,52,box,,0.7422680412371134,0.5901639344262295,0.8,0.6923076923076923
BraTS-MET-00009-000,t1n,53,ET,3,sam3,52,text,Enhancing Tumor,0.0,0.0,0.0,0.0
